country_id,latitude,longitude,bright_ti4,scan,track,tanggal_f,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,Kota,lat_p,lon_p,distance,hs
IDN,-3.64937,104.68317,334.61,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,303.6,3.71,D,Palembang,-2.9831,104.7527,74.1,1
IDN,-3.60086,104.84597,332.61,0.39,0.36,2023-10-01,629,1,VIIRS,l,2.0NRT,306.01,2.99,D,Palembang,-2.9831,104.7527,69.1,1
IDN,-3.5939,104.64655,345.51,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301.04,3.92,D,Palembang,-2.9831,104.7527,68.6,1
IDN,-3.59337,104.65001,334.15,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,298.88,3.92,D,Palembang,-2.9831,104.7527,68.4,1
IDN,-3.58836,104.61605,334.98,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,303.36,5.6,D,Palembang,-2.9831,104.7527,68.6,1
IDN,-3.58784,104.61951,335.92,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.79,5.6,D,Palembang,-2.9831,104.7527,68.5,1
IDN,-3.58453,104.61901,351.56,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,304.72,5.6,D,Palembang,-2.9831,104.7527,68.1,1
IDN,-3.58365,104.64716,330.46,0.39,0.36,2023-10-01,629,1,VIIRS,l,2.0NRT,302.37,2.86,D,Palembang,-2.9831,104.7527,67.4,1
IDN,-3.58313,104.65061,340.54,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.53,6.9,D,Palembang,-2.9831,104.7527,67.3,1
IDN,-3.58034,104.64666,333.37,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.27,2.86,D,Palembang,-2.9831,104.7527,67.1,1
IDN,-3.57981,104.65012,346.41,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,303.73,6.9,D,Palembang,-2.9831,104.7527,67,1
IDN,-3.54545,104.63081,336.63,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.61,3.3,D,Palembang,-2.9831,104.7527,63.6,1
IDN,-3.53984,104.69009,333.7,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301.43,3.64,D,Palembang,-2.9831,104.7527,62,1
IDN,-3.53813,104.61204,336.28,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,292.86,1.36,D,Palembang,-2.9831,104.7527,63.3,1
IDN,-3.5381,104.97041,332.6,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.09,2.88,D,Palembang,-2.9831,104.7527,66,1
IDN,-3.5355,104.62931,367,0.39,0.36,2023-10-01,629,1,VIIRS,h,2.0NRT,302.1,14.97,D,Palembang,-2.9831,104.7527,62.6,1
IDN,-3.53271,104.62536,333.56,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.7,8.11,D,Palembang,-2.9831,104.7527,62.4,1
IDN,-3.53219,104.62881,367,0.39,0.36,2023-10-01,629,1,VIIRS,h,2.0NRT,305.12,14.46,D,Palembang,-2.9831,104.7527,62.3,1
IDN,-3.53166,104.63227,346.01,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301.67,14.46,D,Palembang,-2.9831,104.7527,62.1,1
IDN,-3.5294,104.62486,332.46,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,301.66,8.11,D,Palembang,-2.9831,104.7527,62.1,1
IDN,-3.52887,104.62831,343.07,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,304.56,14.46,D,Palembang,-2.9831,104.7527,61.9,1
IDN,-3.52273,104.69106,337.47,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,304.57,3.96,D,Palembang,-2.9831,104.7527,60.1,1
IDN,-3.51909,104.64806,338.12,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,305.1,6.47,D,Palembang,-2.9831,104.7527,60.4,1
IDN,-3.50425,104.65644,347.23,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,305.58,7.14,D,Palembang,-2.9831,104.7527,58.6,1
IDN,-3.50215,104.67028,346.12,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.65,10.92,D,Palembang,-2.9831,104.7527,58.1,1
IDN,-3.50146,104.65249,339.3,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.86,4.71,D,Palembang,-2.9831,104.7527,58.4,1
IDN,-3.49983,104.88628,345.49,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,310.28,9.22,D,Palembang,-2.9831,104.7527,59,1
IDN,-3.49762,104.65544,337.51,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,299.41,4.71,D,Palembang,-2.9831,104.7527,57.9,1
IDN,-3.4833,104.66037,335.63,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,305.1,3.81,D,Palembang,-2.9831,104.7527,56.3,1
IDN,-3.47675,105.17239,338.6,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,302.04,3.6,D,Palembang,-2.9831,104.7527,71.8,1
IDN,-3.46954,105.1749,350.4,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,300.8,10.99,D,Palembang,-2.9831,104.7527,71.4,1
IDN,-3.46525,104.84553,347.51,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,306.08,7.74,D,Palembang,-2.9831,104.7527,54.3,1
IDN,-3.46472,104.849,339.73,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,307.53,7.74,D,Palembang,-2.9831,104.7527,54.3,1
IDN,-3.46193,104.84502,346.02,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,305.88,7.74,D,Palembang,-2.9831,104.7527,53.9,1
IDN,-3.4586,104.84452,337.47,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,304.27,8.21,D,Palembang,-2.9831,104.7527,53.6,1
IDN,-3.45489,104.86885,339.29,0.39,0.36,2023-10-01,629,1,VIIRS,n,2.0NRT,308.91,7.8,D,Palembang,-2.9831,104.7527,53.7,1
