Kota,lat_pol,lon_pol,CO,NO,NO2,O3,SO2,PM2_5,ISPU_PM_2_5,PM10,NH3,tgl,Tanggal
Palembang,-2.9831,104.7527,674.25,0,12.51,74.39,6.14,38.66,91.68,43.07,5.51,2023-10-01,1
Palembang,-2.9831,104.7527,674.25,0,12.51,74.39,6.14,38.66,91.68,43.07,5.51,2023-10-02,2
Palembang,-2.9831,104.7527,934.6,0.02,22.62,72.96,9.89,45.5,100.25,50.15,7.54,2023-10-03,3
Palembang,-2.9831,104.7527,460.62,0,5.83,72.24,3.78,47.35,102.57,57.71,1.52,2023-10-04,4
Palembang,-2.9831,104.7527,500.68,0.38,3.17,123.02,4.77,51.33,107.56,57.73,1.42,2023-10-05,5
Palembang,-2.9831,104.7527,540.73,0.36,4.37,140.19,3.61,49.62,105.41,57.01,3.58,2023-10-06,6
Palembang,-2.9831,104.7527,494,0.29,2.36,125.89,4.11,53.55,110.34,59.98,1.41,2023-10-07,7
Palembang,-2.9831,104.7527,520.71,0.03,10.2,21.99,5.19,39.67,92.94,46.39,1.8,2023-10-08,8
Palembang,-2.9831,104.7527,627.52,1.24,9.17,72.24,7.27,54.02,110.93,62.48,3.13,2023-10-09,9
Palembang,-2.9831,104.7527,5661.01,93.88,24.68,0,19.31,173.29,222.89,187.57,12.92,2023-10-10,10
Palembang,-2.9831,104.7527,881.2,0.39,15.59,7.78,5.66,43.41,97.63,53.85,3.93,2023-10-11,11
Palembang,-2.9831,104.7527,961.3,0,8.91,97.27,5.01,90.2,141.89,103.66,5.32,2023-10-12,12
Palembang,-2.9831,104.7527,961.3,1.12,16.79,19.13,7.51,68.29,118.83,83.2,3.23,2023-10-13,13
Palembang,-2.9831,104.7527,674.25,0,7.11,50.07,3.99,66.6,117.05,73.26,1.5,2023-10-14,14
Palembang,-2.9831,104.7527,767.71,0.27,10.2,47.92,5.48,72.76,123.54,80.13,2.56,2023-10-15,15
Palembang,-2.9831,104.7527,774.38,0.06,9.68,134.47,3.64,73.24,124.04,76.24,8.36,2023-10-16,16
Palembang,-2.9831,104.7527,560.76,0,10.97,36.84,5.6,52.26,108.72,64.21,2.06,2023-10-17,17
Palembang,-2.9831,104.7527,714.3,1.58,10.97,87.98,8.11,67.77,118.28,81.21,4.43,2023-10-18,18
Palembang,-2.9831,104.7527,5447.39,84.04,31.19,0,52.93,237.97,287.57,251.9,78.02,2023-10-19,19
Palembang,-2.9831,104.7527,2723.69,34.87,16.11,0,14.78,111.16,163.96,128.7,11.91,2023-10-20,20
Palembang,-2.9831,104.7527,3124.24,37.1,16.79,0,13.47,124.91,178.43,137.63,12.54,2023-10-21,21
Palembang,-2.9831,104.7527,1495.36,15.65,11.48,0.01,8.34,60.73,110.87,72.34,5.51,2023-10-22,22
Palembang,-2.9831,104.7527,747.68,0.64,7.54,178.81,8.11,55.22,112.43,61.57,4.5,2023-10-23,23
Palembang,-2.9831,104.7527,3391.27,60.8,12.34,0,6.74,177.38,226.98,188.23,3.99,2023-10-24,24
Palembang,-2.9831,104.7527,5607.6,0.08,109.67,185.97,59.13,250.25,299.85,265.36,47.12,2023-10-25,25
Palembang,-2.9831,104.7527,801.09,0.35,12.17,10.55,5.36,74.74,125.62,83.58,2.63,2023-10-26,26
Palembang,-2.9831,104.7527,1161.58,2.88,18.85,10.19,8.58,87.52,139.07,97.71,4.24,2023-10-27,27
Palembang,-2.9831,104.7527,1134.87,8.16,22.62,0.05,14.78,49.55,105.33,56.31,13.81,2023-10-28,28
Palembang,-2.9831,104.7527,1094.82,1.02,22.62,3.4,7.15,67.4,117.89,79.9,5.95,2023-10-29,29
Palembang,-2.9831,104.7527,1455.31,8.72,29.13,6.53,13.83,74.29,125.15,87.53,10.26,2023-10-30,30
Palembang,-2.9831,104.7527,2643.59,27.72,26.05,0,13.59,81.29,132.52,91.79,6.4,2023-10-31,31
