latitude,longitude,bright_ti4,Tanggal,tgl,kota,lat_pol,lon_pol,PM2_5,ISPU_PM_2_5,PM10,geo,jarak,hs,,,,,,,,,,,,
-4.61524,104.30829,334.35,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-4.61524104.30829,187.1093269,1,,,,,,,,,,,,
-4.55305,104.24959,330.93,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-4.55305104.24959,182.3767121,1,,,,,,,,,,,,
-4.55253,104.25304,340.06,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-4.55253104.25304,182.204887,1,,,,,,,,,,,,
-4.51552,104.11616,336.12,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-4.51552104.11616,183.6135615,1,,,,,,,,,,,,
-4.42154,104.26784,334.69,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-4.42154104.26784,167.9329618,1,,,,,,,,,,,,
-4.36635,104.1604,334.3,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-4.36635104.16040,166.5101753,1,,,,,,,,,,,,
-4.35802,104.21558,342.05,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-4.35802104.21558,163.3267624,1,,,,,,,,,,,,
-4.34095,104.21655,350.72,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-4.34095104.21655,161.5315571,1,,,,,,,,,,,,
-4.32757,104.26036,346.12,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-4.32757104.26036,158.4117868,1,,,,,,,,,,,,
-4.32426,104.25986,341.19,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-4.32426104.25986,158.0875904,1,,,,,,,,,,,,
-4.22309,104.74824,336.38,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-4.22309104.74824,137.1173827,1,,,,,,,,,,,,
-4.20591,104.16628,330.69,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-4.20591104.16628,150.0940885,1,,,,,,,,,,,,
-4.01385,104.38331,331.89,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-4.01385104.38331,121.1434271,1,,,,,,,,,,,,
-4.00917,104.54828,343.55,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-4.00917104.54828,115.7123711,1,,,,,,,,,,,,
-4.009,104.52708,335.25,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-4.0090104.52708,116.1793587,1,,,,,,,,,,,,
-3.95393,104.53291,341.75,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.95393104.53291,110.0956928,1,,,,,,,,,,,,
-3.95062,104.53242,334.18,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.95062104.53242,109.7509631,1,,,,,,,,,,,,
-3.92235,104.5383,330.2,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.92235104.53830,106.5580014,1,,,,,,,,,,,,
-3.91956,104.53436,331.62,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.91956104.53436,106.3563391,1,,,,,,,,,,,,
-3.91904,104.5378,332.64,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.91904104.53780,106.2137666,1,,,,,,,,,,,,
-3.91312,104.6216,335.35,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.91312104.62160,103.866691,1,,,,,,,,,,,,
-3.90973,105.62142,334.35,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.90973105.62142,140.7738811,1,,,,,,,,,,,,
-3.90595,105.87133,340.83,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.90595105.87133,160.823645,1,,,,,,,,,,,,
-3.88673,105.1974,346,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.88673105.19740,111.4729196,1,,,,,,,,,,,,
-3.88377,105.2616,340.97,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.88377105.26160,114.5288186,1,,,,,,,,,,,,
-3.88043,105.2611,346.88,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.88043105.26110,114.1803405,1,,,,,,,,,,,,
-3.87816,105.25357,334.57,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.87816105.25357,113.5498432,1,,,,,,,,,,,,
-3.85873,104.57812,335.09,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.85873104.57812,98.74991967,1,,,,,,,,,,,,
-3.85647,104.57073,348.63,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.85647104.57073,98.66990697,1,,,,,,,,,,,,
-3.85005,105.8963,335.24,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.85005105.89630,159.1832961,1,,,,,,,,,,,,
-3.82665,105.56807,335.69,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.82665105.56807,130.0399449,1,,,,,,,,,,,,
-3.82369,105.23425,330.65,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.82369105.23425,107.2537078,1,,,,,,,,,,,,
-3.82328,105.56756,338.69,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.82328105.56756,129.7334518,1,,,,,,,,,,,,
-3.82089,105.23023,335.04,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.82089105.23023,106.7627909,1,,,,,,,,,,,,
-3.81421,105.22922,341.11,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.81421105.22922,106.0664784,1,,,,,,,,,,,,
-3.80199,105.75146,336.99,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.80199105.75146,143.2398539,1,,,,,,,,,,,,
-3.79926,105.58949,334.85,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.79926105.58949,129.5830976,1,,,,,,,,,,,,
-3.79861,105.75095,340.56,1,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,-3.79861105.75095,142.9600453,1,,,,,,,,,,,,
