country,latitude,longitude
I,-8.92071,117.20232
I,-8.89704,116.85383
I,-8.89395,116.85394
I,-8.85325,117.12706
I,-8.85224,117.13531
I,-8.72633,118.30967
I,-8.72505,118.31028
I,-8.71972,120.818
I,-8.71761,120.81757
I,-8.70782,117.45532
I,-8.70694,117.45912
I,-8.69731,121.11442
I,-8.6838,118.48798
I,-8.68377,118.48867
I,-8.64687,118.85061
I,-8.64624,118.85583
I,-8.6444,118.84977
I,-8.64414,122.4045
I,-8.64376,118.85481
I,-8.64036,118.85104
I,-8.6115,117.66027
I,-8.61013,118.81386
I,-8.60962,118.81794
I,-8.59677,122.80549
I,-8.58995,118.55184
I,-8.57354,122.8307
I,-8.57045,122.83312
I,-8.5598,122.61654
I,-8.49964,117.20869
I,-8.49622,124.17268
I,-8.49497,124.17124
I,-8.48042,121.18755
I,-8.47435,124.1668
I,-8.47251,117.60487
I,-8.4718,117.60375
I,-8.47175,117.61137
I,-8.47099,117.61016
I,-8.46722,117.29992
I,-8.46198,122.70991
I,-8.46186,118.25504
I,-8.46112,117.2919
I,-8.46035,117.2982
I,-8.46003,118.86039
I,-8.45728,118.85917
I,-8.45103,118.23455
I,-8.44138,117.16067
I,-8.41088,117.98104
I,-8.40213,120.88491
I,-8.3929,122.65035
I,-8.38869,117.88539
I,-8.38437,120.93311
I,-8.38386,120.93691
I,-8.38354,120.93601
I,-8.38016,118.64894
I,-8.37421,120.88196
I,-8.36244,120.9282
I,-8.36068,120.40817
I,-8.35975,120.4064
I,-8.35453,120.41071
I,-8.35355,120.40912
I,-8.33916,118.82449
I,-8.32834,124.0143
I,-8.27528,123.50536
I,-8.26108,124.9799
I,-8.25595,128.10913
I,-8.25537,128.11305
I,-8.24317,128.14722
I,-8.23303,125.05762
I,-8.23005,118.15155
I,-8.22559,118.1491
I,-8.22495,118.15402
I,-8.19672,127.89831
I,-8.19537,127.85722
I,-8.18285,122.76992
I,-8.15336,128.02208
I,-8.15024,128.0976
I,-8.14984,128.02155
I,-8.14936,128.09775
I,-8.1453,122.8396
I,-8.14371,122.84097
I,-8.10888,117.89258
I,-8.105,117.89474
I,-7.84018,129.76111
I,-7.68243,131.00784
I,-7.68124,130.99338
I,-7.59487,127.45058
I,-6.9142,134.19754
I,-5.8202,132.78067
I,-5.67456,132.6937
I,-5.67394,132.69763
I,-5.52511,122.58353
I,-5.45112,122.7702
I,-5.44992,122.74402
I,-5.44932,122.7674
I,-5.20969,123.09804
I,-5.19123,122.9978
I,-5.19051,123.00275
I,-4.12566,131.34286
I,-10.35471,123.79205
I,-10.35064,123.69791
I,-10.32617,123.77425
I,-10.27207,123.96999
I,-10.1854,124.06401
I,-10.18471,120.6051
I,-10.18445,123.89269
I,-10.17884,120.60488
I,-10.15413,124.01666
I,-10.12834,124.28459
I,-10.08732,124.49218
I,-10.08172,124.50027
I,-10.06103,124.44987
I,-10.05789,124.45148
I,-10.05602,124.45338
I,-10.0534,124.45109
I,-10.05285,124.4551
I,-10.01335,120.17196
I,-10.00844,120.79385
I,-10.00738,120.79028
I,-10.00686,124.52685
I,-10.00391,124.48112
I,-10.0006,120.12701
I,-9.99645,120.21158
I,-9.9638,120.67279
I,-9.95225,123.58502
I,-9.95121,123.58311
I,-9.9505,123.58839
I,-9.93939,124.52427
I,-9.93176,124.52204
I,-9.9178,124.42416
I,-9.91567,119.84691
I,-9.91503,119.84429
I,-9.91172,123.91148
I,-9.86146,120.44756
I,-9.84721,123.7364
I,-9.83497,124.30766
I,-9.82234,124.4349
I,-9.81597,124.06811
I,-9.80041,119.76318
I,-9.79011,119.99134
I,-9.78999,124.54052
I,-9.78957,119.99557
I,-9.78674,124.53115
I,-9.7836,124.3501
I,-9.77119,124.61356
I,-9.76931,124.56051
I,-9.7597,124.79787
I,-9.75914,124.80205
I,-9.75141,124.52564
I,-9.74931,124.80925
I,-9.74006,124.81224
I,-9.73671,119.1671
I,-9.72824,124.09647
I,-9.7097,123.74693
I,-9.70493,123.74707
I,-9.69995,124.17055
I,-9.67145,120.21506
I,-9.65729,124.30202
I,-9.65373,124.81925
I,-9.64366,124.43363
I,-9.64231,124.43592
I,-9.6344,124.50046
I,-9.63412,124.4986
I,-9.59603,124.75494
I,-9.59504,124.75175
I,-9.57766,124.71707
I,-9.57709,124.72122
I,-9.56269,124.36135
I,-9.54662,124.87879
I,-9.54584,124.65658
I,-9.54503,124.36971
I,-9.54304,124.37262
I,-9.54109,124.59205
I,-9.53649,124.5254
I,-9.53332,124.61681
I,-9.53263,124.52056
I,-9.53223,124.62501
I,-9.52894,124.6162
I,-9.52005,124.31976
I,-9.50704,124.8139
I,-9.50483,124.79743
I,-9.50439,124.33444
I,-9.50042,124.79743
I,-9.48791,124.89137
I,-9.47269,124.08083
I,-9.47256,124.46951
I,-9.46974,124.00497
I,-9.46902,124.0061
I,-9.46847,124.39904
I,-9.46232,124.4112
I,-9.46174,124.41554
I,-9.46159,124.58396
I,-9.46117,124.41981
I,-9.45777,124.51254
I,-9.45718,124.51696
I,-9.45653,124.35245
I,-9.45244,124.8772
I,-9.44899,124.40939
I,-9.44751,124.38634
I,-9.43746,123.99873
I,-9.43711,124.46505
I,-9.4369,124.00285
I,-9.42777,124.00161
I,-9.42679,124.5091
I,-9.42444,124.52693
I,-9.42436,124.45919
