latitude,longitude,Kecerahan_Channel_4,Kecerahan_Channel_5,Jarak,tanggal_f,tgl,Tanggal,Kota,lat_pol,lon_pol,PM2_5,ISPU_PM_2_5,PM10,tanggal_a,Temperatur,Curah_Hujan,Kecepatan_Angin
-3.64937,104.68317,334.61,303.6,74.1,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.60086,104.84597,332.61,306.01,69.1,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.5939,104.64655,345.51,301.04,68.6,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.59337,104.65001,334.15,298.88,68.4,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.58836,104.61605,334.98,303.36,68.6,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.58784,104.61951,335.92,302.79,68.5,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.58453,104.61901,351.56,304.72,68.1,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.58365,104.64716,330.46,302.37,67.4,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.58313,104.65061,340.54,300.53,67.3,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.58034,104.64666,333.37,302.27,67.1,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.57981,104.65012,346.41,303.73,67,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.54545,104.63081,336.63,300.61,63.6,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.53984,104.69009,333.7,301.43,62,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.53813,104.61204,336.28,292.86,63.3,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.5381,104.97041,332.6,302.09,66,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.5355,104.62931,367,302.1,62.6,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.53271,104.62536,333.56,300.7,62.4,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.53219,104.62881,367,305.12,62.3,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.53166,104.63227,346.01,301.67,62.1,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.5294,104.62486,332.46,301.66,62.1,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.52887,104.62831,343.07,304.56,61.9,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.52273,104.69106,337.47,304.57,60.1,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.51909,104.64806,338.12,305.1,60.4,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.50425,104.65644,347.23,305.58,58.6,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.50215,104.67028,346.12,302.65,58.1,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.50146,104.65249,339.3,302.86,58.4,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.49983,104.88628,345.49,310.28,59,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.49762,104.65544,337.51,299.41,57.9,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.4833,104.66037,335.63,305.1,56.3,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
-3.47675,105.17239,338.6,302.04,71.8,2023-10-01,2023-10-01,1,Palembang,-2.9831,104.7527,38.66,91.68,43.07,2023-10-01,29.2,0,2
